Date,User,Tweet
2023-04-15 11:02:21+00:00,Hellstorm901,@vicktop55 Fact Check - Buildings which Ukraine knew Russian troops would want to try and occupy were rigged to explode so that when Russia troops enter them they are blown up killing Russian troops and denying them their use
2023-04-15 11:02:07+00:00,MaryMaryLin8,#NaziRussia #Russia #WarCrimes #WarCrimesofRussia #genocide #RussiaUkraineWar #Ukraine #ウクライナ #terrorism #terroristas #Russland #Soldaten #Krieg #Völkermord #RussiaTerroristState
2023-04-15 11:02:05+00:00,elwrshfany,"WARNING GRAPHIC CONTENT 18+ | Ukrainian armored convoy destroyed near Bakhmut
#Russia #Ukraine #America #Bakhmut #trumpmugshot https://t.co/uglpFkWhdf"
2023-04-15 11:02:01+00:00,jeaniegirlTN,"@TheSpectator He may be right as Biden is an old grifter laundering money via Ukraine and stoking regime change in Russia, with no idea how it will turn out."
2023-04-15 11:01:57+00:00,yusr35144430,"🔴Russian War--Footage of The Attack on Katsap Positions in Bakhmut
 #Canada #Germany #Ukraine #Russia #Bachmut
 https://t.co/nO1vuG5dJt"
2023-04-15 11:01:54+00:00,JanetWorstnop,"@MoatazSHamza @Dsgrntld1 @Ostrov_A @ForeignAffairs But you do, youre doing it again.

NATO isn't in Ukraine 
Ukraine isn't a member.

Russia and Putin agreed NATO Expansion.
Maybe try learning youve been played by another Imperialist?

NATO Russian Council Rome 2002.

https://t.co/AdXSgqBKDc https://t.co/JoW2iF3tvT"
2023-04-15 11:01:45+00:00,doctartesss,"@maria_drutska It was a truly horrific video. There was no need for it, except intimidation and terrorism. Being beheaded by a knife... The people in that video should pay and Russia sending the Wagner group into Ukraine should pay. I think every Russian adult should watch it, @DlugaJuly 🤨"
2023-04-15 11:01:37+00:00,Mousewrangler2,@Posted_to_BAOR Is Russia sending T34's to Ukraine now?
2023-04-15 11:01:28+00:00,Russia_Truth,"Update on #Ukraine, Brazil criticizes US-EU, #Putin's approval rate, Attack on Japanese prime minister https://t.co/GmpSnq1Qwr via @russia_truth"
2023-04-15 11:01:16+00:00,Paul_J_Gray83,@SeannonMcLeoud @DineshDSouza No biden was vice president when all this foriegn money was being paid out to his family and hunters exbusiness partners are testifying about it in congressional hearings China Russia n Ukraine so far. Maybe you should watch the news and catch up or watch the hearings on cspan
2023-04-15 11:01:13+00:00,Viento_Este,"De los mismos de ""la economía rusa no se resiente con la guerra y las sanciones"" ahora llega: ""no pasa nada, la devaluación del rublo es pasajera"".
Va a ser que no, a menos que inventen la 'constante pasajera'.

#Ucrania #Ukraine #UkraineRussiaWar #UkraineWar #Rusia #Russia https://t.co/DPhdv3VGvq"
2023-04-15 11:01:11+00:00,yzn_Official,"@dannybudiarta @KyivIndependent Well assuming your government didn’t overthrow and install a proxy government in Ukraine and the other numerous things they did, ukrain wouldn’t be in that position right now. Also constantly moving towards Russia’s borders with their military bases."
2023-04-15 11:01:00+00:00,kees_rij,Lula says: the USA encourages the war in Ukraine. This will encourage Russia to continue its invasion of Ukraine. Lula thus appears to be not neutral. Does he support Russia in its destruction of a sovereign country? Is that what Brazil stands for? @Itamaraty_EN @eu_eeas @MinBZ
2023-04-15 11:00:59+00:00,MAGA_GreenArrow,@RepSwalwell They did. They caught the traitor Biden lying to us Americans about this war we should be having nothing to do with. Instead we are giving them hundreds of billions and have troops on ground in Ukraine fighting Russia. We don’t want wars! They must stop
2023-04-15 11:00:34+00:00,VernVerass,"Euromaiden Press ~ Before Russian losses exceed 200,000 Russia will face the reality of a failed quagmire and pull out of Ukraine."
2023-04-15 11:00:32+00:00,kackvogl1,"@Viktor20127569 @DI_Ukraine Nonsense ""Will be next"". We all know you just say that, to suck more money and military stuff from the west zivilisation. All you corrupt ukrainian Nazi beggars is, looking for a fight with russia, but not finish it. Pathetic Loosers you are! https://t.co/baput9fWET"
2023-04-15 11:00:29+00:00,WinterMaryland1,"@simonateba No... wrong, u are spilling talking points

Open media shows that ukraine air force is in bad shape, not this leak
Usa troups are not fighting russia directly... but yes indirectly we help, thats called assistance."
2023-04-15 11:00:27+00:00,Will91277233,คอลัมน์ของรถถัง MBT ของยูเครนอย่างน้อย 9 คัน (คันหลังคือ T-64BV Obr. 2017) พร้อมยานเกราะสนับสนุนที่เข้าประจำตำแหน่ง #ยูเครน #UkraineRussiaWar #Ukraine #รัสเซียยูเครน #รัสเซีย #Russia
2023-04-15 11:00:22+00:00,elwrshfany,"BAKHMUT: Ukrainian soldiers destroy Russian occupiers.
#Russia #Ukraine #America #Bakhmut #trumpmugshot https://t.co/EHWhxrZkt0"
2023-04-15 11:00:13+00:00,peddlepup,Slava Ukraine! I support untrained men being sent to the frontline to get slaughtered in a few hours in a proxy nato war with Russia because my mong lantern told me to 🇺🇦
2023-04-15 11:00:02+00:00,EuropeanUnionC,"In what might be a world record, a #Spanish extreme #athlete has emerged from a cave after 500 days without any touch with others.  Russia had not yet invaded Ukraine, and the Covid epidemic was still raging when Beatriz Flamini went into the cave near Granada. 🇪🇸

@EA_Espana https://t.co/gb6pLiqKfb"
2023-04-15 11:00:01+00:00,ripenewsupdates,"Russia’s combat losses in #Ukraine war on all fronts including Kherson and #Bakhmut as of today Apr. 15 according to the Armed Forces of Ukraine.
https://t.co/4FrAbPuqZr"
2023-04-15 11:00:00+00:00,stevekele,"@Spriter99880 Are this Polak crazy or what? What kind of „security“ Poland could provide to Ukraine? Nothing! Unless Poland would think that Russia’s attack of Poland would trigger Article 5! But in such agreement, Article 5 DO NOT APPLY, and Russia would destroy Poland by ever going there!"
